Threshold,Precision,Recall,F1
0.05,0.08282767497450813,0.9979859013091642,0.15296042477001914
0.1,0.08948292254808747,0.9856998992950654,0.16407127411703573
0.15000000000000002,0.09921724942687787,0.9675730110775428,0.1799790199310655
0.2,0.11057578202876536,0.938368580060423,0.19783859529926326
0.25,0.12324497282983478,0.8998992950654582,0.21679848609830657
0.3,0.13740212032352656,0.8588116817724069,0.23690205011389523
0.35000000000000003,0.15241045791144023,0.8124874118831823,0.25667292336079917
0.4,0.1700899449590549,0.7655589123867069,0.2783391915641476
0.45,0.18758043758043758,0.7045317220543806,0.29627747427264645
0.5,0.20860410709643878,0.6465256797583081,0.3154326143566059
0.55,0.23198720511795282,0.5842900302114804,0.33211219232970807
0.6000000000000001,0.2576693327933583,0.5125881168177241,0.34294569465031666
0.6500000000000001,0.2820143884892086,0.43423967774420946,0.34195083267248216
0.7000000000000001,0.3155523517750946,0.3526686807653575,0.3330797032528058
0.7500000000000001,0.36167951102843476,0.2741188318227593,0.3118698441796517
0.8,0.4100781928757602,0.19013091641490434,0.25980459611944406
0.8500000000000001,0.4930555555555556,0.11440080563947634,0.18571195030243584
0.9000000000000001,0.6010230179028133,0.0473313192346425,0.08775205377147124
0.9500000000000001,0.7368421052631579,0.0028197381671701913,0.0056179775280898875
